,ID,Gas,Sector,Unit,2022,2021,2020,2019,2018,2017,2016,2015,Data source,Country,Created
27,AFG,ch4,enteric-fermentation-other,tonnes,378585.8,378585.8,378585.8,363901.8,378999.39999999997,370813.30000000005,380290.7,382694.0,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
28,AFG,ch4,incineration-and-open-burning-of-waste,tonnes,1229.6124459999999,1229.6124459999999,1211.967875,1193.121423,1174.5680380000001,1157.627033,1140.6860279999999,1123.745024,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
29,AFG,ch4,manure-management-other,tonnes,24230.6,24230.6,24230.6,24050.100000000002,24378.699999999997,23654.3,24633.5,24762.0,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
30,AFG,ch4,other-energy-use,tonnes,106.69136853333339,105.39487700000001,102.35833500000001,99.363327,107.721051,101.955423,94.27002,97.399862,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
31,AFG,ch4,other-fossil-fuel-operations,tonnes,4173.455668,4150.12233467,4151.74606788,4134.96404579,4328.887970670001,4315.16468273,4351.69195676,4332.07743979,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
32,AFG,ch4,other-manufacturing,tonnes,385.82070133333036,0.0,348.3366639999999,333.696981,342.73272900000006,313.721053,245.525595,245.255697,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
33,AFG,ch4,other-onsite-fuel-usage,tonnes,14.284555999999998,14.284555999999998,14.002573,13.704698,15.806845,21.699379,25.350681,32.392566,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
34,AFG,ch4,other-transport,tonnes,5.605535,5.605535,5.393516999999999,5.286835,6.49503,5.144044,5.066771999999999,5.876038,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
35,AFG,ch4,residential-and-commercial-onsite-fuel-usage,tonnes,5765.918826,5765.918826,5765.366671000001,5656.941496,5590.245338000001,5698.418733,5600.861052,5503.739799999999,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
36,AFG,ch4,road-transportation,tonnes,411.29302,411.29302,396.08051,388.233606,477.23675399999996,322.364499,364.497817,519.7886520000001,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
37,AFG,ch4,solid-fuel-transformation,tonnes,50132.40998700001,45023.40998700001,41874.497487,39685.454061,39886.858172,37447.42784800001,30740.340924000004,25219.343162999998,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
38,AFG,ch4,wastewater-treatment-and-discharge,tonnes,173941.60940000042,170281.3583,166530.2881,162897.2724,159350.8718,155643.5378,151810.8689,147774.937,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
39,AFG,co2,other-energy-use,tonnes,2556063.2883333303,2419292.7690000003,2368878.2339999997,2260286.0489999996,2546542.263,2387318.7010000004,2252635.012,2277154.635,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
40,AFG,co2,other-fossil-fuel-operations,tonnes,148294.542,139166.542,147337.86831800002,137273.69888,174419.588677,204426.488783,383991.47774999996,303708.82948,climate-trace,Afghanistan,2023-10-06T14:56:32.942934
