,ID,Gas,Sector,Unit,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,Data source,Country,Created
26,ABW,co2,textiles-leather-apparel,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
27,ABW,co2,wood-and-wood-products,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
28,ABW,n2o,food-beverage-tobacco,tonnes,0.0010395278183994,0.0010395278183994,0.0010395278183994,0.0010395278183994,0.000941609699996155,0.00109156318991321,0.00109281725638365,0.00104418812735361,0.000995147014609756,0.00099537316316502,climate-trace,Aruba,2024-10-02T15:13:47.322599
29,ABW,n2o,lime,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
30,ABW,n2o,other-chemicals,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
31,ABW,n2o,other-energy-use,tonnes,1.273962142857143,1.2758700000000003,1.2628570000000001,1.2169349999999999,1.2628570000000001,1.489609,1.255011,1.208016,1.289115,1.232481,climate-trace,Aruba,2024-10-02T15:13:47.322599
32,ABW,n2o,other-fossil-fuel-operations,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
33,ABW,n2o,other-manufacturing,tonnes,0.36858215891675045,0.36858215891675045,0.36858215891675045,0.36808129137828216,0.3172083975937672,0.33537657659763226,0.3814961559680983,0.4461361608339962,0.28466494660008423,0.2953830868980282,climate-trace,Aruba,2024-10-02T15:13:47.322599
34,ABW,n2o,other-metals,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
35,ABW,n2o,other-mining-quarrying,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
36,ABW,n2o,other-onsite-fuel-usage,tonnes,2.2398479,2.2398479,2.2398479,2.2383989,1.2398479,1.3468619,1.4421594999999998,1.4333285,1.3305808000000001,1.3316907,climate-trace,Aruba,2024-10-02T15:13:47.322599
37,ABW,n2o,other-transport,tonnes,0.0722051,0.0722051,0.0722051,0.0695795,0.0722051,0.0837066,0.0754076,0.07140919999999999,0.0843847,0.08199250000000001,climate-trace,Aruba,2024-10-02T15:13:47.322599
38,ABW,n2o,solid-fuel-transformation,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
39,ABW,n2o,textiles-leather-apparel,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
40,ABW,n2o,wood-and-wood-products,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate-trace,Aruba,2024-10-02T15:13:47.322599
41,AFG,ch4,enteric-fermentation-other,tonnes,131584.8,131584.8,131584.8,131584.8,132011.5,132759.3,133216.3,131792.0,129460.6,130694.00000000001,climate-trace,Afghanistan,2024-10-02T15:13:47.322599
