Party,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,"1.A.2.d  Pulp, Paper and Print",14232.91059,13781.5981,12719.8696,12715.09822,12588.00726,12549.04172,13114.59393,12910.39559,11836.89019,12199.23503,12220.87728,11297.75725,10610.38551,10031.86988,9786.502372,8271.021059,7108.776423,7387.665397,5964.890953,6087.305427,5669.932747,5930.099761,5734.790887,5966.984719,5853.868415,5758.439754,5793.315499,6188.103945,6861.334165,6964.966412,6307.089071,6659.610485
Canada,"1.A.2.e  Food Processing, Beverages and Tobacco","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
Croatia,"1.A.2.d  Pulp, Paper and Print",303.296352,200.5633194,198.1562991,200.2037419,248.5062864,183.6589464,152.0929236,161.6610195,138.0565821,146.9509527,153.3690243,173.1866451,155.320935,161.9803125,172.348611,174.3986062,181.6407784,171.5764958,153.5933322,148.2794466,161.393184,148.2052896,126.1435128,113.3654123,71.3835051,70.0448031,105.4955151,96.6099687,92.9385516,110.622618,115.4129364,121.3798407
Croatia,"1.A.2.e  Food Processing, Beverages and Tobacco",729.4126979,546.2087914,438.981867,440.8544245,464.1950684,578.3557971,570.9953753,612.9101339,610.9978978,581.1647237,431.2958792,505.5605347,561.0719273,520.4493236,527.4371287,592.6085163,591.3275345,548.1036453,641.7923567,492.0629628,514.0760772,495.8153535,429.7562889,388.0115315,399.5778336,350.7136049,376.6473943,358.3835901,334.0778372,335.6773905,294.7131929,242.0253624
Croatia,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,"1.A.2.d  Pulp, Paper and Print",4.82073,16.15596,15.37422,13.029,14.3319,12.63813,14.46219,9.1203,8.85972,8.85972,9.1203,7.03566,7.16595,8.07798,8.85972,5.150287059,3.494837647,4.966348235,4.598470588,3.12696,3.678776471,6.25392,3.496115,2.99667,3.12696,3.12696,3.12696,2.72538945,2.60167071,3.06845119,3.11478434,3.48606655
Cyprus,"1.A.2.e  Food Processing, Beverages and Tobacco",72.57057344,209.3338116,202.4960808,174.0267707,189.7650227,170.4133898,192.8406394,129.4423018,126.7241944,126.8949626,131.0890709,106.2080233,107.3987865,119.3429786,127.1132253,81.28838621,61.81639891,77.65378311,72.32887992,54.67075286,59.47180765,94.26853143,52.62469,43.3268,43.3268,55.81099,49.64006,70.98346691,65.51374377,66.56300514,61.9464851,63.96581344
Czechia,"1.A.2.d  Pulp, Paper and Print",2285.332855,2315.026289,2413.105443,2009.483032,1929.51321,1367.892694,1291.465873,1182.77356,678.2756817,654.7086643,720.0489236,837.4109147,733.6155032,551.0937939,320.6702384,713.1149031,658.3593787,662.9078187,644.2230101,676.0422609,627.0644103,533.8577791,523.0270931,467.8563211,421.647832,441.1759926,404.0477462,400.8099574,408.5920395,443.8081461,472.4100241,778.7501415
Czechia,"1.A.2.e  Food Processing, Beverages and Tobacco",2988.177587,3548.514973,3148.533947,3004.673591,2524.582023,2229.735111,2409.515903,2105.253572,1917.573378,1556.381188,1747.47849,1761.198718,1701.356781,1853.411002,1562.207405,1419.959869,1336.845,1195.991442,1003.539662,982.1751141,1037.812602,966.8834571,972.463047,959.4925833,991.2534105,1019.240286,1021.110388,1032.387942,984.5305884,881.6792656,994.9530514,1181.360559
Czechia,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,0.184743238,0.262211293,0.291344966,0.30715368,0.365373657,0.369084598,0.399273011,0.418825453,0.419259968,0.355541,0.412968,0.522900639,0.490187,0.252518,0.264662,0.483977,0.541833,0.534102,0.55476,0.565925,0.52039,0.468003,0.554348,0.687617,0.8244031,0.630072
Denmark,"1.A.2.d  Pulp, Paper and Print",342.9268791,339.8184196,280.4313601,225.5250864,261.5638317,229.2947127,276.8764628,270.4827904,271.8936271,272.3222355,231.2307982,235.0961094,229.1962067,231.3087253,228.5236405,231.4724572,221.0340956,186.4119062,168.5210581,149.57217,156.1630684,146.8250279,130.1753017,123.1239464,112.3423883,99.41384205,73.31898385,81.22806909,85.72756144,67.14450651,55.81766515,58.71585477
Denmark,"1.A.2.e  Food Processing, Beverages and Tobacco",1713.092925,1796.347245,1646.730932,1744.185773,1924.865578,1949.806584,1831.042592,1874.34428,1846.415339,1850.72395,1817.048701,1881.272096,1782.528292,1694.972654,1730.16038,1656.196038,1681.441693,1428.218184,1332.722456,1256.840889,1437.991021,1319.77985,1223.372868,1153.728056,1169.376578,1138.345274,1118.594561,1155.059222,1175.575818,1032.971027,987.4868138,978.6248728
Denmark,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,"1.A.2.d  Pulp, Paper and Print",145.2357753,132.8800766,95.25000965,99.28194341,73.77495754,27.2171138,56.47852695,97.18670625,83.04981709,25.12973169,38.84181444,34.16499541,34.76402482,75.4186722,45.34896546,38.54174879,44.75783682,48.58772802,47.59273486,52.76807126,69.72307465,67.63306665,61.06931658,59.97628611,48.835842,47.54352089,54.00802202,49.80853352,61.64447874,62.14687428,62.96586158,56.3646718
Estonia,"1.A.2.e  Food Processing, Beverages and Tobacco",695.4928218,639.8724717,358.3578815,503.9182906,401.8317681,290.7210259,402.8991441,341.010575,274.7595292,206.2805939,170.1191899,174.2283881,170.6913173,107.2401319,133.0689699,132.4461969,114.4391219,115.5465652,101.7758314,93.73883701,106.4244744,84.03682667,75.54212436,92.60183634,85.02303895,84.93574754,92.37207311,64.55077538,66.48369665,93.97965106,98.00375596,82.32459922
Estonia,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Estonia,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
