Party,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,"1.A.2.d  Pulp, Paper and Print",39.02,43.51,94.93,60.85,33.47,21.45,24.45,42.19,39.48,10.9958,3.8,2.46,10,10.97,35.78,24.53,28.63,42.56,13.21,28.45,30.87,12.16,9.93,34,6.25,43.63,45.257,56.59,53.012,40.57307,42.87518,113.271
Kazakhstan,"1.A.2.e  Food Processing, Beverages and Tobacco",772.08,745.83,3105.63,2906.87,2366.19,1530.92,1328.84,1374.03,1346.55,765.18,838.07,1097.18,1077.99,1021.52,1129.33,1060.9,1055.9,1944.55,1433.87,995.51,1415.64,390.52,669.34,645.44,674.11,1159.16,734.03,719.019,737.205,824.1994,720.9813,846.9978
Kazakhstan,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,"1.A.2.d  Pulp, Paper and Print",168.477762,160.5027576,147.4265859,56.47727673,10.79676021,17.06923888,11.79064708,11.04998401,7.839448719,8.161530941,5.622437515,10.06674733,10.01555267,11.77260667,11.72693167,13.66698113,15.50759197,11.17198959,11.16516367,5.61837291,5.60719436,5.605935455,3.76721112,5.613375097,5.542160391,5.440832122,5.128969814,6.087877355,6.131616836,5.529538784,4.632532543,5.754486883
Latvia,"1.A.2.e  Food Processing, Beverages and Tobacco",840.2068022,549.9937942,505.4070342,527.9055175,494.3256699,519.719477,591.2947114,533.0879024,516.7071755,443.2071094,345.0210172,257.9975505,266.6152981,228.1208273,236.6113042,240.674759,246.7938013,199.1420362,160.957827,142.0572652,143.42064,131.4546034,132.7475374,123.8385822,113.7600802,103.23139,100.5070192,90.73539765,91.22262813,88.75427396,87.87251591,93.37655227
Latvia,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,4.849196,4.7281784,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Liechtenstein,"1.A.2.d  Pulp, Paper and Print",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Liechtenstein,"1.A.2.e  Food Processing, Beverages and Tobacco",33.82647881,32.97900695,33.30068823,35.06640447,33.26487881,33.40926674,33.4249662,34.97734907,37.30979512,36.60734287,33.3519816,33.75998734,35.00279492,37.61615963,36.65499771,35.5118423,36.7451754,30.43126092,32.65837435,23.80986386,22.49027572,19.52449697,21.02424287,21.7046795,22.43822295,22.89519506,21.25715174,22.7718167,20.203512,19.98298568,18.6288836,18.94982053
Lithuania,"1.A.2.d  Pulp, Paper and Print",255.341328,282.577212,177.898836,70.474144,86.421184,79.600164,79.044854,82.457631,76.868264,68.126476,73.74222622,71.59292434,51.92659037,26.78556242,21.89811536,24.96816087,21.81806415,26.69613631,33.42759,49.38872,64.7969,52.485,44.295678,43.3909,26.63152,21.72156,28.89946,33.25083,43.05233,38.77074,31.76055,30.14432
Lithuania,"1.A.2.e  Food Processing, Beverages and Tobacco",676.386536,740.974464,490.29576,219.546608,277.52002,253.423668,255.2923475,271.1609922,352.211737,302.759451,306.9776628,270.0348561,298.2079236,297.1111422,272.2575673,263.918237,270.1125182,292.8311492,266.66488,245.73148,268.01264,288.31757,297.50191,280.20637,248.10433,239.01153,246.19692,246.85581,253.20878,233.4753,242.1105,235.555575
Lithuania,2.H.1  Pulp and Paper,0.022748,0.022748,0.022748,0.0022,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lithuania,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Luxembourg,"1.A.2.d  Pulp, Paper and Print","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",11.41099176,13.32428713,16.97815426,20.37960452,17.52916883,17.54085759,11.01240231,7.065238993,9.831084861,7.775908063,4.979997085,7.204784598,9.380535867,11.92219019,5.773248307,5.390422289,5.240103063,4.937358994,1.271672549,1.88374039,0.401963454,0.529971167
Luxembourg,"1.A.2.e  Food Processing, Beverages and Tobacco",5.440749712,7.264733754,7.042134581,6.428486179,6.71349132,7.539212373,6.736209542,7.037968716,7.379298959,8.146086015,18.90998043,23.21840509,25.75877515,15.45564571,14.15442467,15.08955495,13.08929386,12.78954663,13.93556234,14.67633974,12.38768721,17.83743787,15.14398203,15.39049486,20.91243444,17.64233072,19.45859262,16.88041416,11.94455935,12.53849953,12.38783238,13.86150228
Malta,"1.A.2.d  Pulp, Paper and Print",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Malta,"1.A.2.e  Food Processing, Beverages and Tobacco",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Monaco,"1.A.2.d  Pulp, Paper and Print",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Monaco,"1.A.2.e  Food Processing, Beverages and Tobacco",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Netherlands,"1.A.2.d  Pulp, Paper and Print",1668.474096,1741.136595,1710.186872,1689.215952,1668.765156,1386.661257,1503.356642,1539.876204,1521.633105,1536.009271,1556.493215,1468.079325,1519.412586,1455.790543,1459.786328,1686.695739,1612.668407,1388.17729,1200.167136,1089.158912,1190.475769,1105.870097,1098.474001,1007.858177,1007.795733,1054.254041,1026.166242,1044.496879,993.6926045,947.5288812,848.2046307,918.6412092
Netherlands,"1.A.2.e  Food Processing, Beverages and Tobacco",4008.937569,3972.503954,4279.278261,4428.792087,4326.236195,4049.764693,4316.620375,4160.12013,4240.637979,4502.367427,4300.629081,4106.405449,4244.000444,4080.18883,4013.265921,3881.8934,3704.365349,3792.473681,3594.897739,3169.453816,3326.648637,3544.049919,3387.511314,3273.589324,3476.43374,3347.995654,3385.371202,3442.650697,3437.330739,3520.211657,3450.535628,3529.423451
Netherlands,2.H.2  Food and Beverages Industry,72.483,57.4047,63.783,59.436188,34.426876,30.507408,49.310636,48.267784,41.248468,51.351692,48.972588,42.817528,31.789448,46.089596,41.165548,33.454184,19.693002,29.027644,33.35532,29.75477,29.072292,33.272402,27.53831,27.427682,14.21759,13.5426691,9.387904959,10.50430954,18.86215385,16.40111562,17.12137509,14.93689749
New Zealand,"1.A.2.d  Pulp, Paper and Print",507.2074911,493.5701686,486.1405708,465.2050779,495.8581459,519.2758603,522.4853929,526.3417714,507.7624983,545.6756382,587.9896121,571.5598492,501.3748741,443.4996248,551.6195793,533.9800127,538.8991093,540.1654366,493.8063431,436.9755544,428.5861588,439.9877399,474.2444987,410.6508891,408.9106415,396.2988907,406.4019731,471.9489749,447.7792074,441.3863443,395.7512697,299.890378
New Zealand,"1.A.2.e  Food Processing, Beverages and Tobacco",1663.114154,1684.772252,1804.869909,1650.838642,1737.254767,1765.947494,1783.672056,1820.931215,1807.038828,1600.913687,1666.516104,1695.991002,1785.458526,1823.728655,1950.127255,1960.412316,1921.966172,2150.898047,2041.627358,1922.856083,2358.921583,2309.779074,2514.782268,2383.197751,2680.668156,2973.552395,2720.56047,2748.977572,3023.419442,3094.295199,2874.737872,2786.955328
Norway,"1.A.2.d  Pulp, Paper and Print",316.7357751,302.5589635,241.19936,295.40686,653.9217,628.26114,805.7947,591.82689,588.2411751,534.1446723,353.493538,519.5526157,483.311372,531.57832,531.779402,467.1875524,527.7906652,384.8859352,353.5453724,326.0074256,401.9116106,296.2750185,200.9157824,134.3311527,107.543301,92.21977205,104.1886221,91.30870825,101.6850883,107.0672684,72.64134014,106.3836613
Norway,"1.A.2.e  Food Processing, Beverages and Tobacco",490.4691753,450.1903277,493.95878,495.87528,565.23108,480.26834,554.20787,487.33574,574.29371,507.9593078,418.6603162,397.35271,413.90415,465.0421344,385.91866,320.3204034,357.6017384,344.78659,353.3638208,304.5444876,348.9786664,316.3961061,302.42485,295.81616,291.4488392,321.2327426,315.9342789,367.4324637,308.6104679,308.7117962,315.3268394,314.1547643
Norway,2.H.1  Pulp and Paper,10.48547118,10.82955118,10.77939118,10.43927118,11.41343118,10.59239118,10.74744,10.89748,9.452443,9.558824,10.162889,8.920439,9.20271,9.914641,11.2178,12.92192,14.2998,10.04684,12.73654,9.001394,10.26821,9.22893,9.6484,9.859537292,8.5,8.805,10.239442,7.99,8.905372,8.288497,9.283365,9.16307
Norway,2.H.2  Food and Beverages Industry,20.786859,32.116025,30.454911,32.702376,31.380306,36.374325,36.024371,45.428043,46.247434,47.243532,52.596638,62.237037,64.692704,75.116491,77.133555,79.60678292,71.58375251,79.18766931,77.61048848,75.07751137,84.674909,91.306519,94.959391,91.248907,91.392302,99.74573,105.348461,105.611532,112.866,105.387,110.297,103.527296
Poland,"1.A.2.d  Pulp, Paper and Print",284.4089559,300.8681287,267.0675787,592.1220432,524.6051145,2355.10414,2284.281272,2503.507814,2028.480066,1882.355054,1714.520546,1711.07916,1593.872543,1618.807564,1626.92829,1551.530943,1424.330966,1299.357411,1166.98158,1235.182703,1393.29158,1475.673195,1448.933628,1581.965626,1591.917432,1585.80323,1525.884287,1484.843174,1304.27422,1473.986701,1335.119814,1435.741394
Poland,"1.A.2.e  Food Processing, Beverages and Tobacco",3715.41113,4021.939811,3688.062328,6201.682755,6203.564197,7994.50682,10248.96657,9021.384018,7692.177351,5856.834914,5667.215195,5377.577051,5662.155896,5522.442517,5264.582347,5194.489555,4679.474302,4756.907499,4312.159843,4084.748028,4078.054428,4035.038527,4189.135606,4025.40618,4000.999569,3798.325888,3973.979398,4154.025396,4525.536601,4436.800005,4177.418501,4149.046121
Portugal,"1.A.2.d  Pulp, Paper and Print",753.7446455,820.661854,898.6988747,925.3300812,1065.191026,883.4079403,924.7242232,875.6851862,881.4058715,881.8472734,1052.633818,740.6828066,703.6665058,655.684271,664.895861,605.9585106,638.8982261,598.185513,674.7298819,804.5935769,1049.335727,1050.453117,1008.553137,969.4660555,965.0962167,1068.383188,1112.574805,1129.440189,1306.563323,1362.854641,1235.117436,967.8850622
Portugal,"1.A.2.e  Food Processing, Beverages and Tobacco",830.4868727,903.837739,918.8465163,880.615162,894.0546897,936.8300037,957.1857692,1109.758777,1143.385969,1140.471945,1042.658309,1119.759177,1167.068169,1174.252763,980.1714696,897.7830954,974.0366958,1048.608529,957.3516602,927.1972578,965.8598674,941.0190144,872.6028813,828.6138182,790.762482,803.1133819,796.6823575,782.1753566,736.9465787,756.1819713,739.9560038,705.7865759
Portugal,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Portugal,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Romania,"1.A.2.d  Pulp, Paper and Print",NO,NO,62.77172757,21.63724205,186.4706919,577.3774289,559.9798821,479.6184169,398.5545239,383.9303754,388.1417206,366.2080616,363.4253848,409.6060692,280.1995818,286.2654302,233.0729811,312.195488,183.9777458,118.7999314,288.5597208,101.8027,109.1611541,108.4292346,136.5404754,173.1172831,195.9873643,255.0977037,176.3670133,232.462325,204.8806372,346.5394022
Romania,"1.A.2.e  Food Processing, Beverages and Tobacco",131.6779864,18.50780745,862.0192981,577.8918676,2692.182643,2977.021598,2754.868968,2262.866946,963.76999,1111.059811,1145.03807,1517.153817,1218.904789,1054.922854,1127.841004,1594.212206,942.7156612,1524.560902,1338.506205,931.8959202,983.5423918,999.071171,1071.147682,938.9476237,987.7040086,970.0372083,1027.861959,1016.099713,861.413681,956.2026296,924.9213589,936.0398994
Romania,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA
Romania,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Federation,"1.A.2.d  Pulp, Paper and Print",5214.110573,4987.081134,527.88672,501.88896,457.82496,386.24544,371.16576,362.7257659,342.72,413.41824,3155.721416,2942.677571,2775.843753,2324.007869,2160.021065,3094.937549,3401.403182,2321.97953,2045.62874,2799.793612,2992.945336,3223.081452,4605.997436,3425.851642,4362.512706,4956.605709,5212.065755,6360.520951,8707.357344,9240.199777,8195.080647,4912.510591
Russian Federation,"1.A.2.e  Food Processing, Beverages and Tobacco",17111.74688,16359.54435,11336.78765,11603.09463,7140.085114,5294.400605,7378.849782,6740.369719,7618.177738,6351.934886,5262.566933,5771.060859,5289.827872,4296.283139,3507.889301,4109.42533,3963.522273,2954.082284,3893.378943,3889.729856,4884.15282,5975.636978,6935.188021,6357.585488,6054.433312,4695.386691,6240.877486,5712.014904,6275.043248,6866.428862,7019.710664,6645.231094
Russian Federation,2.H.1  Pulp and Paper,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Russian Federation,2.H.2  Food and Beverages Industry,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Slovakia,"1.A.2.d  Pulp, Paper and Print",2329.287168,2028.640541,1769.90581,1549.283776,1363.225078,1208.180329,1080.60018,1028.490358,893.6361087,827.153462,690.6994016,604.2965502,628.6671557,599.328472,534.2148718,528.8805296,521.3262221,485.6011188,518.6092375,622.3599715,396.2015381,378.0152254,305.3978135,426.2188033,479.6959879,475.6620826,401.8811123,377.2331598,345.5583168,434.4492049,390.4851275,296.0915506
Slovakia,"1.A.2.e  Food Processing, Beverages and Tobacco",1140.357928,1040.561281,953.9523163,879.1194342,814.8282793,759.8444967,712.9337312,695.6667737,638.3938318,608.2959878,569.2206556,559.5333651,551.0459625,495.8787142,478.8531951,436.1897206,416.8150911,359.3539888,335.1102904,303.7326691,305.9969686,312.0309792,295.8561846,309.5985372,326.3012215,329.007926,319.7655594,324.0795664,322.7327938,345.1223484,342.0087977,321.3143729
Slovakia,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Slovenia,"1.A.2.d  Pulp, Paper and Print",380.5177362,589.3859368,595.2676239,538.8800417,614.3822501,694.7216193,699.7300925,370.459219,464.1713791,553.3258293,505.2925093,444.1019752,474.7094134,453.0112065,500.8907624,521.8336304,470.9175712,446.3276885,430.1594857,414.351463,387.9885576,353.9256454,342.0969497,336.2075481,326.6897833,315.3551877,310.1658834,308.9672206,312.0770542,316.2498849,276.251569,243.7299983
Slovenia,"1.A.2.e  Food Processing, Beverages and Tobacco",220.9550917,217.2083049,192.2028416,196.3030917,179.4476517,202.2111631,177.4611622,215.1272358,212.4024113,216.6879737,182.9190698,166.8670002,183.6765714,228.8467015,178.9234621,174.4413407,204.4096072,132.6396287,126.1033157,115.0090185,111.5553929,99.30223896,87.95468535,87.62510653,106.6060117,90.11041526,88.63696535,88.73958236,110.3213337,98.63208508,91.32891708,95.08764398
Spain,"1.A.2.d  Pulp, Paper and Print",2600.484904,2735.7973,2655.880112,2652.241794,3255.093306,3914.247039,3726.418311,3712.357746,4023.459373,4365.497183,4788.514623,4468.955752,5366.381937,5432.579974,5435.965814,5254.290101,5113.231119,5184.404169,5482.64057,5030.183559,4491.292289,5030.292794,5155.455978,4753.17431,3888.308795,3994.120407,4241.240735,4376.499887,4329.407512,4826.053624,4088.316617,4238.711734
Spain,"1.A.2.e  Food Processing, Beverages and Tobacco",2997.666309,3243.07634,3211.407084,3206.569727,3965.314792,5151.107837,3735.419824,3855.468234,3832.196158,4869.132851,4771.883636,4948.89065,5594.40626,6104.981589,5745.833146,5166.972266,2968.850623,2903.700802,2765.421684,2431.317299,2574.664491,2013.528614,2714.646055,3205.709551,2873.794056,4207.311118,4600.058493,5039.099554,4941.039425,4675.868419,4355.930276,4900.957197
Spain,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,"1.A.2.d  Pulp, Paper and Print",2155.777053,2320.683497,2072.685417,2571.127107,3312.504731,3265.928409,3071.962506,3399.163406,2919.772411,2417.69383,2544.253744,2469.358298,2442.314713,2499.523775,2382.488117,2105.759305,2069.465619,1622.641627,1515.442235,1351.719537,1386.196777,1094.693562,1008.417271,874.5571191,680.0211973,C,687.1774056,703.0639449,788.5919302,702.7216371,616.2244766,659.7108807
Sweden,"1.A.2.e  Food Processing, Beverages and Tobacco",945.4208281,926.673826,843.5705965,898.8054005,922.5200615,941.1050145,945.2498282,984.3100968,951.5199614,925.2624897,809.3322124,694.5915189,759.9385251,840.5273873,765.55951,604.9594106,638.9500959,559.8632023,490.1029334,487.1620708,484.5758569,482.1390917,492.6570432,457.5508469,437.1409082,C,392.0717218,324.2113303,322.0115796,283.1937183,274.454409,263.8127327
Sweden,2.H.1  Pulp and Paper,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.590487017,0.489246717,0.567305215,0.617591344,0.675619133,0.405164663,0.368979723,0.434676041,0.335819561,0.169602179,0.067480169,0.047801333,0.045170836,0.025321834,0.022161328,0.024353024,0.071828308,0.10725121
Sweden,2.H.2  Food and Beverages Industry,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Switzerland,"1.A.2.d  Pulp, Paper and Print",674.2072032,721.3854019,797.312688,816.0703984,855.8109296,785.6056664,737.2919273,751.3510511,737.4353258,696.6097347,610.8509999,712.5551834,642.188327,681.9565147,668.1541433,595.1997106,622.5263816,517.8755776,516.1394888,385.1093979,403.6162754,352.7346676,314.9931831,321.7273349,268.5307953,213.7695446,175.9595629,166.2536115,122.1999523,127.7592553,121.6349626,135.5077553
Switzerland,"1.A.2.e  Food Processing, Beverages and Tobacco",709.6234798,843.9392867,795.6009786,779.0206452,621.5577496,601.3998947,757.6228647,702.1166334,692.014771,669.2090954,690.9374908,701.9926007,661.4057317,642.9187144,639.6616644,652.7192252,722.1289569,699.5651498,682.994417,779.5522971,814.5015408,704.4369521,703.126422,809.9492369,751.6210617,704.0328597,668.7171312,675.2971424,649.2154048,710.7088151,710.9258228,722.4924083
Türkiye,"1.A.2.d  Pulp, Paper and Print","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",774.0307627,740.330346,763.6103076,884.5126695,959.5579906,1071.726248,938.7542517,976.814842,1019.283106,1264.458585,1275.369458
Türkiye,"1.A.2.e  Food Processing, Beverages and Tobacco",2892.424612,2893.838477,2326.553778,2127.194484,1564.052674,1676.058868,2223.013959,2176.253492,2625.770698,2013.651855,2130.338225,3960.011888,3891.556985,2684.771297,2329.569653,2108.15935,2000.529228,1377.074395,1365.081212,456.4527478,877.2485562,3364.25952,3514.510774,3590.643875,3309.790798,4341.732203,4943.027379,4902.018862,5046.891467,5156.247357,5838.283562,6298.932297
Türkiye,2.H.1  Pulp and Paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Türkiye,2.H.2  Food and Beverages Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,"1.A.2.d  Pulp, Paper and Print",141.3001413,163.6385212,327.5688342,222.7458385,292.4821764,200.7352256,84.97325784,61.41832155,12.22813235,8.982554722,8.810314808,9.908411502,18.33197149,30.49217637,40.11269227,46.1832674,42.91232916,49.65422601,52.1003444,44.45484135,44.56764733,44.81201023,47.55011717,15.12680366,9.076945585,44.09324598,45.27079636,43.79494237,47.96949264,40.64057758,48.39102169,53.23012386
Ukraine,"1.A.2.e  Food Processing, Beverages and Tobacco",3625.331459,3984.315335,4729.305263,4051.501276,3568.127063,2412.406578,2309.113118,1104.194865,1125.851629,948.4530645,900.7612636,911.2521014,896.7456449,898.8004124,855.7318065,824.7728371,886.0813002,759.7639654,685.1934245,611.4267301,576.3266266,665.6978789,630.4671828,523.5714272,518.8945994,427.3610836,493.7228682,505.1525733,580.9102348,519.6072078,526.4100589,579.0510647
Ukraine,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ukraine,2.H.2  Food and Beverages Industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
United Kingdom of Great Britain and Northern Ireland,"1.A.2.d  Pulp, Paper and Print",4678.217859,5199.107838,5509.381176,5251.173777,5344.227766,4579.372565,3942.66243,3414.025754,3142.782858,3462.757648,4297.893172,4223.981473,3939.474378,3836.539571,3462.378137,4300.436338,3926.450099,3701.453215,3329.281539,2788.798866,2675.311633,2561.046211,2529.471613,2709.131859,2639.415317,1520.308512,1500.083733,1441.793149,1417.151163,1411.946181,1302.619961,1301.346974
United Kingdom of Great Britain and Northern Ireland,"1.A.2.e  Food Processing, Beverages and Tobacco",7861.761694,8027.464063,8267.171365,7738.970773,7706.921632,7632.752391,7517.573837,7091.322138,6667.976389,6884.464512,6901.484703,7162.675845,6619.73232,6398.296223,6342.956802,5974.688253,5346.260638,5172.598633,4772.629976,4250.600051,4579.130181,4585.590362,4545.0182,4653.591151,4548.157784,4056.875076,3975.510397,4079.305423,4190.10406,4141.923193,3925.855312,4099.672201
United Kingdom of Great Britain and Northern Ireland,2.H.1  Pulp and Paper,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
United Kingdom of Great Britain and Northern Ireland,2.H.2  Food and Beverages Industry,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
United States of America,"1.A.2.d  Pulp, Paper and Print",55314.45213,56312.06237,57143.43225,57936.11708,58792.2102,58086.92391,57297.65395,56619.2402,56039.2521,53907.70239,51458.56215,49117.15509,46792.44662,46075.20442,45415.6634,45094.08408,44396.71946,42276.53276,40242.6405,38325.50099,36151.60109,36553.59646,35442.42391,34107.6563,33635.86027,32990.72936,32219.49835,30063.18636,29959.77197,30126.67001,30190.15585,29644.37377
United States of America,"1.A.2.e  Food Processing, Beverages and Tobacco",41194.85855,42024.04232,42664.95648,43308.61398,43989.2961,43501.61808,42831.74992,42304.91862,41822.60561,43773.7661,45538.65688,47352.58026,49126.70309,47994.82096,46991.13984,46384.604,45301.2681,38672.48314,32133.90059,25696.91857,19000.09128,35428.16597,35583.62396,35796.90097,36512.99493,34959.60165,33801.99883,33980.14353,34610.16802,34451.26695,33671.83157,33847.31057
