,ID,2H2_per_1A2e
0,AUS,0.058027985893698814
1,IRL,0.03456180041126286
2,JPN,0.00301252616930371
3,LVA,0.019653376364036128
4,NLD,0.030652299226139684
5,NOR,0.2010591615063445
