sub-sector,inventory,sub_inventory,subinv_units,values,Gas,LS review,Legend
other-manufacturing,ceds,ceds,2D_Other-product-use,1,n2o,,
other-manufacturing,ceds,ceds,2D_Paint-application,1,n2o,,
other-manufacturing,edgar,edgar,2.A.3 Glass Production,-1,n2o,,
other-manufacturing,ceds-derived,ceds-derived,misc-mineral-industry-combustion,1,n2o,,
enteric-fermentation-other,faostat,faostat,Enteric Fermentation - non cattle,1,n2o,,
manure-management-other,faostat,faostat,Manure Management - non cattle,1,n2o,,
other-agricultural-soil-emissions,faostat,faostat,Manure left on Pasture - non cattle,1,n2o,,
other-agricultural-soil-emissions,faostat,faostat,Drained organic soils (N2O),1,n2o,,
other-agricultural-soil-emissions,edgar,edgar,3.C.2 Liming,1,n2o,,
other-agricultural-soil-emissions,edgar,edgar,3.C.3 Urea application,1,n2o,,
biological-treatment-of-solid-waste-and-biogenic,edgar,edgar,4.B Biological Treatment of Solid Waste,1,n2o,,
incineration-and-open-burning-of-waste,edgar,edgar,4.C Incineration and Open Burning of Waste,1,n2o,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,c2f6,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,c3f8,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,c4f10,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,c5f12,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,c6f14,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,cf4,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-125,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-134,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-143a,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-152a,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-227ea,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-23,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-32,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,hfc-365mfc,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,nf3,,
fluorinated-gases,edgar,edgar,2.B Chemical Industry,1,sf6,,
fluorinated-gases,edgar,edgar,2.C Metal Industry,1,c2f6,,
fluorinated-gases,edgar,edgar,2.C Metal Industry,1,cf4,,
fluorinated-gases,edgar,edgar,2.C Metal Industry,1,sf6,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,c2f6,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,c3f8,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,cf4,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,hfc-125,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,hfc-23,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,hfc-32,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,nf3,,
fluorinated-gases,edgar,edgar,2.E Electronics Industry,1,sf6,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,c3f8,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,c4f10,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,c6f14,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,cf4,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-125,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-134,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-134a,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-143,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-143a,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-152a,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-227ea,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-23,,
fluorinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-236fa,,
